student_id,program,education_level,academic_year,place_type,course,absence_status,discipline,module,exam_type,grade_10,difficulty_avg_score,std_deviation,students_responsed_ratio,exam_type_prev,grade_prev,avg_grade_prev,min_prev,max_prev,target_grade,target_type
354,UX-аналитика и проектирование информационных систем,Магистратура,2023,Бюджетные,2,\N,Человеко-ориентированный дизайн и прототипирование,2,Первая сдача,9,,,,,,9.0,8.0,10.0,9.0,Первая сдача
355,UX-аналитика и проектирование информационных систем,Магистратура,2023,Бюджетные,2,\N,Человеко-ориентированный дизайн и прототипирование,2,Первая сдача,10,,,,,,8.5,8.0,9.0,10.0,Первая сдача
356,UX-аналитика и проектирование информационных систем,Магистратура,2023,Бюджетные,2,\N,Человеко-ориентированный дизайн и прототипирование,2,Первая сдача,9,,,,,,8.0,8.0,8.0,9.0,Первая сдача
357,UX-аналитика и проектирование информационных систем,Магистратура,2023,Бюджетные,2,\N,Человеко-ориентированный дизайн и прототипирование,2,Первая сдача,10,,,,,,8.0,8.0,8.0,10.0,Первая сдача
358,UX-аналитика и проектирование информационных систем,Магистратура,2023,Коммерческие за счет средств вуза,2,\N,Человеко-ориентированный дизайн и прототипирование,2,Первая сдача,9,,,,,,8.0,8.0,8.0,9.0,Первая сдача
359,UX-аналитика и проектирование информационных систем,Магистратура,2023,Коммерческие,2,\N,Человеко-ориентированный дизайн и прототипирование,2,Первая сдача,9,,,,,,7.666666666666667,7.0,8.0,9.0,Первая сдача
360,UX-аналитика и проектирование информационных систем,Магистратура,2023,Бюджетные,2,\N,Человеко-ориентированный дизайн и прототипирование,2,Первая сдача,9,,,,,,7.333333333333333,7.0,8.0,8.0,Первая сдача
361,UX-аналитика и проектирование информационных систем,Магистратура,2023,Бюджетные,2,\N,Человеко-ориентированный дизайн и прототипирование,2,Первая сдача,10,,,,,,8.333333333333334,8.0,9.0,9.0,Первая сдача
362,Прикладная математика и информатика,Бакалавриат,2022,Бюджетные,4,\N,Дискретная математика,1,Первая сдача,0,,,,,,9.0,9.0,9.0,6.0,Пересдача
362,Прикладная математика и информатика,Бакалавриат,2022,Бюджетные,4,\N,Дискретная математика,1,Пересдача,6,,,,Первая сдача,0.0,4.5,0.0,9.0,7.0,Первая сдача
362,Прикладная математика и информатика,Бакалавриат,2022,Бюджетные,4,\N,Алгоритмы и структуры данных,2,Первая сдача,5,,,,,,5.0,0.0,9.0,5.0,Первая сдача
362,Прикладная математика и информатика,Бакалавриат,2022,Бюджетные,4,\N,Дискретная математика,2,Первая сдача,7,,,,Пересдача,6.0,5.333333333333333,0.0,9.0,5.0,Первая сдача
362,Прикладная математика и информатика,Бакалавриат,2022,Бюджетные,4,\N,Математический анализ 1,2,Первая сдача,5,,,,,,5.571428571428571,0.0,9.0,1.0,Первая сдача
362,Прикладная математика и информатика,Бакалавриат,2022,Бюджетные,4,\N,Основы и методология программирования,2,Первая сдача,5,,,,,,5.5,0.0,9.0,5.0,Первая сдача
362,Прикладная математика и информатика,Бакалавриат,2022,Бюджетные,4,\N,Язык программирования C++,2,Первая сдача,5,,,,,,5.444444444444445,0.0,9.0,5.0,Первая сдача
362,Прикладная математика и информатика,Бакалавриат,2022,Бюджетные,4,\N,Алгоритмы и структуры данных,4,Первая сдача,5,,,,Первая сдача,5.0,5.416666666666667,0.0,9.0,6.0,Первая сдача
362,Прикладная математика и информатика,Бакалавриат,2022,Бюджетные,4,\N,Дискретная математика,4,Первая сдача,5,,,,Первая сдача,7.0,5.6,0.0,9.0,6.0,Первая сдача
362,Прикладная математика и информатика,Бакалавриат,2022,Бюджетные,4,\N,Линейная алгебра и геометрия,4,Первая сдача,2,,,,,,5.5625,0.0,9.0,4.0,Пересдача
362,Прикладная математика и информатика,Бакалавриат,2022,Бюджетные,4,\N,Математический анализ 1,4,Первая сдача,1,,,,Первая сдача,5.0,5.352941176470588,0.0,9.0,3.0,Пересдача
362,Прикладная математика и информатика,Бакалавриат,2022,Бюджетные,4,\N,Математический анализ 1,4,Пересдача,3,,,,Первая сдача,1.0,5.0476190476190474,0.0,9.0,5.0,Пересдача с комиссией
362,Прикладная математика и информатика,Бакалавриат,2023,Бюджетные,4,\N,Дискретная математика,2,Первая сдача,6,,,,Первая сдача,5.0,5.076923076923077,0.0,9.0,6.0,Первая сдача
362,Прикладная математика и информатика,Бакалавриат,2023,Бюджетные,4,\N,Язык программирования Java,3,Первая сдача,5,,,,,,5.212121212121212,0.0,9.0,7.0,Первая сдача
363,UX-аналитика и проектирование информационных систем,Магистратура,2024,Коммерческие,2,\N,Человеко-ориентированный дизайн и прототипирование,2,Первая сдача,7,,,,,,7.0,7.0,7.0,7.0,Первая сдача
363,UX-аналитика и проектирование информационных систем,Магистратура,2024,Коммерческие,2,\N,Современные методы принятия решений,4,Первая сдача,3,,,,,,6.833333333333333,6.0,7.0,5.0,Пересдача
364,Физика,Магистратура,2023,Бюджетные,2,\N,Мемы в структуре вирусной коммуникации,3,Первая сдача,1,,,,,,7.333333333333333,6.0,8.0,5.0,Пересдача
364,Физика,Магистратура,2023,Бюджетные,2,\N,Проведение дебатов на английском,4,Первая сдача,3,,,,,,5.571428571428571,1.0,8.0,4.0,Пересдача
364,Физика,Магистратура,2024,Бюджетные,2,invalid,Калибровочные теории,2,Первая сдача,0,4.75,0.43301,1.0,,,5.090909090909091,1.0,8.0,7.0,Пересдача
364,Физика,Магистратура,2024,Бюджетные,2,\N,Квантовый транспорт,2,Первая сдача,0,3.75,0.82916,1.0,,,4.666666666666667,0.0,8.0,7.0,Пересдача
365,Физика,Магистратура,2024,Бюджетные,2,invalid,Калибровочные теории,2,Первая сдача,0,4.75,0.43301,1.0,,,6.111111111111111,0.0,9.0,7.0,Пересдача
366,Программирование и анализ данных,Магистратура,2023,Бюджетные,2,\N,Дополнительные главы статистики и линейной алгебры,2,Первая сдача,2,,,,,,5.5,4.0,7.0,4.0,Пересдача
366,Программирование и анализ данных,Магистратура,2023,Бюджетные,2,\N,Программирование на GPU,2,Первая сдача,2,,,,,,4.333333333333333,2.0,7.0,4.0,Пересдача
366,Программирование и анализ данных,Магистратура,2024,Бюджетные,2,\N,Компьютерная верстка,2,Первая сдача,0,4.0,1.0,0.5714285714285714,,,5.636363636363637,2.0,10.0,4.0,Пересдача
367,Программирование и анализ данных,Магистратура,2024,Бюджетные,2,\N,Компьютерная верстка,2,Первая сдача,0,4.0,1.0,0.5714285714285714,,,8.909090909090908,7.0,10.0,9.0,Пересдача
369,Машинное обучение и анализ данных,Магистратура,2023,Бюджетные,2,\N,Эффективные алгоритмы,2,Первая сдача,3,,,,,,6.0,4.0,8.0,7.0,Пересдача
370,Машинное обучение и анализ данных,Магистратура,2023,Бюджетные,2,\N,Высшая математика и математическая статистика,2,Первая сдача,3,,,,Первая сдача,8.0,8.0,8.0,8.0,9.0,Пересдача
372,Внедрение и оптимизация комплексных информационных систем,Магистратура,2023,Коммерческие,2,\N,Разработка на C++ в Linux,1,Первая сдача,9,,,,,,10.0,10.0,10.0,9.0,Первая сдача
372,Внедрение и оптимизация комплексных информационных систем,Магистратура,2023,Коммерческие,2,\N,ИТ-архитектура предприятия,2,Первая сдача,9,,,,,,9.666666666666666,9.0,10.0,9.0,Первая сдача
373,UX-аналитика и проектирование информационных систем,Магистратура,2023,Бюджетные,2,\N,Человеко-ориентированный дизайн и прототипирование,2,Первая сдача,9,,,,,,7.5,7.0,8.0,9.0,Первая сдача
374,UX-аналитика и проектирование информационных систем,Магистратура,2023,Бюджетные,2,\N,Человеко-ориентированный дизайн и прототипирование,2,Первая сдача,9,,,,,,7.5,7.0,8.0,9.0,Первая сдача
375,UX-аналитика и проектирование информационных систем,Магистратура,2023,Бюджетные,2,\N,Человеко-ориентированный дизайн и прототипирование,2,Первая сдача,9,,,,,,9.0,9.0,9.0,9.0,Первая сдача
376,UX-аналитика и проектирование информационных систем,Магистратура,2023,По межправительственным соглашениям,2,\N,Человеко-ориентированный дизайн и прототипирование,2,Первая сдача,8,,,,,,7.333333333333333,6.0,8.0,8.0,Первая сдача
377,UX-аналитика и проектирование информационных систем,Магистратура,2023,Бюджетные,2,\N,Человеко-ориентированный дизайн и прототипирование,2,Первая сдача,9,,,,,,6.0,6.0,6.0,8.0,Первая сдача
377,UX-аналитика и проектирование информационных систем,Магистратура,2024,Бюджетные,2,\N,Системный анализ и разработка сложных информационных систем,2,Первая сдача,3,,,,,,7.25,5.0,10.0,6.0,Пересдача
378,UX-аналитика и проектирование информационных систем,Магистратура,2023,По межправительственным соглашениям,2,\N,Человеко-ориентированный дизайн и прототипирование,2,Первая сдача,8,,,,,,8.5,8.0,9.0,8.0,Первая сдача
379,UX-аналитика и проектирование информационных систем,Магистратура,2023,Бюджетные,2,\N,Человеко-ориентированный дизайн и прототипирование,2,Первая сдача,9,,,,,,8.666666666666666,8.0,9.0,9.0,Первая сдача
380,UX-аналитика и проектирование информационных систем,Магистратура,2023,Коммерческие,2,\N,Человеко-ориентированный дизайн и прототипирование,2,Первая сдача,9,,,,,,6.5,5.0,8.0,8.0,Первая сдача
385,Машинное обучение и анализ данных,Магистратура,2024,Коммерческие,2,valid,Эффективные алгоритмы,2,Первая сдача,0,,,,,,0.0,0.0,0.0,5.0,Пересдача
386,UX-аналитика и проектирование информационных систем,Магистратура,2023,Бюджетные,2,\N,Человеко-ориентированный дизайн и прототипирование,2,Первая сдача,10,,,,,,9.5,9.0,10.0,10.0,Первая сдача
387,UX-аналитика и проектирование информационных систем,Магистратура,2023,Коммерческие,2,\N,Человеко-ориентированный дизайн и прототипирование,2,Первая сдача,9,,,,,,8.0,8.0,8.0,9.0,Первая сдача
